name, location
Dr.Y.S.R. Horticultural University,Tadepalligudem
Dravidian University,Kuppam
EIILM University,Jorethang
Eternal University,Baru Sahib
Fakir Mohan University,Balasore ...
Galgotias University,Noida
Gandhi Institute of Technology and Management,Visakhapatnam
Gandhigram Rural University,Gandhigram
Ganpat University,Mehsana
Gauhati University,Guwahati
Gautam Buddha University,Greater Noida
Geetanjali University,Udaipur
GLA University,Chaumuhan
Glocal University,Saharanpur
GLS University,Ahmedabad
GNA University,Phagwara
Goa University,Taleigao
Gokhale Institute of Politics and Economics,Pune
Gondwana University,Gadchiroli
Govind Ballabh Pant University of Agriculture and Technology,Pantnagar
Graphic Era Hill University,Clement Town
Graphic Era University,Dehradun
GSFC University,Vadodara
Gujarat Ayurved University,Jamnagar
Gujarat Forensic Sciences University,Gandhinagar
Gujarat National Law University,Gandhinagar
Gujarat Technological University,Ahmedabad
Gujarat University,Ahmedabad
Gujarat University of Transplantation Sciences,Ahmedabad
Gujarat Vidyapith,Ahmedabad ...
Gulbarga University,Gulbarga
Guru Angad Dev Veterinary and Animal Sciences University,Ludhiana
Guru Ghasidas Vishwavidyalaya,Bilaspur
Guru Gobind Singh Indraprastha University,New Delhi
Guru Jambheshwar University of Science and Technology,Hisar
Guru Kashi University,Talwandi Sabo
Guru Nanak Dev University,Amritsar
Guru Ravidas Ayurved University,Hoshiarpur
Gurukul Kangri Vishwavidyalaya,Haridwar
Haridev Joshi University of Journalism and Mass Communication,Jaipur
Hemchandracharya North Gujarat University,Patan
Hemwati Nandan Bahuguna Garhwal University,Srinagar
Hemwati Nandan Bahuguna Medical University,Dehradun
Hidayatullah National Law University,Raipur
Himachal Pradesh Technical University,Hamirpur
Himachal Pradesh University,Shimla
Himgiri ZEE University,Dehradun
Hindustan Institute of Technology and Science,Chennai ...
Homi Bhabha National Institute,Mumbai
"ICFAI University, Dehradun",Dehradun
"ICFAI University, Himachal Pradesh",Baddi
"ICFAI University, Jharkhand",Ranchi
"ICFAI University, Meghalaya",Tura
"ICFAI University, Mizoram",Aizawl
"ICFAI University, Nagaland",Dimapur
"ICFAI University, Raipur",Durg
"ICFAI University, Sikkim",Gangtok
"ICFAI University, Tripura",Agartala
IEC University,Kalujhanda
IFHE Hyderabad,Hyderabad
IFTM University,Moradabad
IMS Unison University,Dehradun
Indian Agricultural Research Institute,New Delhi
"Indian Institute of Engineering Science and Technology, Shibpur",Howrah ...
Indian Institute of Foreign Trade,New Delhi
Indian Institute of Information Technology Allahabad,Allahabad
Indian Institute of Information Technology and Management Gwalior,Gwalior
"Indian Institute of Information Technology, Design and Manufacturing",Chennai
"Indian Institute of Information Technology, Guwahati",Guwahati
"Indian Institute of Information Technology, Kalyani",Kalyani
"Indian Institute of Information Technology, Kottayam",Kottayam
"Indian Institute of Information Technology, Lucknow",Allahabad
"Indian Institute of Information Technology, Manipur",Imphal
"Indian Institute of Information Technology, Sri City",Sri City
"Indian Institute of Information Technology, Una",Una
"Indian Institute of Information Technology, Vadodara",Gandhinagar
Indian Institute of Science,Bangalore
"Indian Institute of Science Education and Research, Bhopal",Bhopal
"Indian Institute of Science Education and Research, Kolkata",Mohanpur
"Indian Institute of Science Education and Research, Mohali",Mohali
"Indian Institute of Science Education and Research, Pune",Pune
"Indian Institute of Science Education and Research, Thiruvananthapuram",Thiruvananthapuram
Indian Institute of Space Science and Technology,Thiruvananthapuram
Indian Institute of Teacher Education,Gandhinagar
Indian Institute of Technology Bhubaneswar,Bhubaneswar
Indian Institute of Technology Bombay,Mumbai
Indian Institute of Technology Delhi,New Delhi
Indian Institute of Technology Gandhinagar,Chandkheda
Indian Institute of Technology Guwahati,Guwahati
Indian Institute of Technology Hyderabad,Eddumailaram
Indian Institute of Technology Indore,Indore
Indian Institute of Technology Jodhpur,Jodhpur
Indian Institute of Technology Kanpur,Kanpur
Indian Institute of Technology Kharagpur,Kharagpur
Indian Institute of Technology Madras,Chennai
Indian Institute of Technology Mandi,Mandi
Indian Institute of Technology Patna,Patna
Indian Institute of Technology Roorkee,Roorkee
Indian Institute of Technology Ropar,Rupnagar
"Indian Institute of Technology, BHU",Varanasi
Indian Maritime University,Chennai
Indian School of Mines,Dhanbad
Indian Statistical Institute,Kolkata ...
Indian Veterinary Research Institute,Bareilly ...
Indira Gandhi Delhi Technical University for Women,New Delhi
Indira Gandhi Institute of Development Research,Mumbai
"Indira Gandhi Institute of Medical Sciences, Sheikhpura",Patna
Indira Gandhi Krishi Vishwavidyalaya,Raipur
Indira Gandhi National Tribal University,Amarkantak
Indira Gandhi Technological And Medical Sciences University,Ziro
"Indira Gandhi University, Meerpur",Rewari
Indira Kala Sangit Vishwavidyalaya,Khairagarh
Indraprastha Institute of Information Technology,New Delhi
Indus International University,Bathu
Indus University,Ahmedabad
Institute of Advanced Research,Gandhinagar
Institute of Advanced Studies in Education,Sardarshahr
Institute of Chemical Technology,Mumbai
"Institute of Infrastructure, Technology, Research and Management",Ahmedabad
Integral University,Lucknow
International Institute for Population Sciences,Mumbai
International Institute of Information Technology Bangalore,Bangalore
"International Institute of Information Technology, Hyderabad",Hyderabad
Invertis University,Bareilly
Islamic University of Science and Technology,Pulwama
ITM University Gwalior,Gwalior
ITM University Raipur,Raipur
Jadavpur University,Kolkata
Jagadguru Ramanandacharya Rajasthan Sanskrit University,Jaipur
Jagadguru Rambhadracharya Handicapped University,Chitrakoot
Jagadguru Sri Shivarathreeswara University,Mysore ...
Jagan Nath University,Jhajjar
Jagan Nath University,Jaipur
Jagran Lakecity University,Bhopal
Jai Narain Vyas University,Jodhpur
Jai Prakash Vishwavidyalaya,Chapra
Jain University,Bangalore
Jain Vishva Bharati Institute,Ladnun
Jaipur National University,Jaipur
Jamia Hamdard,New Delhi
Jamia Millia Islamia,New Delhi
Janardan Rai Nagar Rajasthan Vidhyapeeth University,Udaipur
Jawaharlal Institute of Postgraduate Medical Education and Research,Puducherry
Jawaharlal Nehru Architecture and Fine Arts University,Hyderabad
Jawaharlal Nehru Centre for Advanced Scientific Research,Bangalore
Jawaharlal Nehru Krishi Vishwavidyalaya,Jabalpur
Jawaharlal Nehru Technological University,Hyderabad ...
"Jawaharlal Nehru Technological University, Anantapur",Anantapur
"Jawaharlal Nehru Technological University, Kakinada",Kakinada
Jawaharlal Nehru University,New Delhi
Jayoti Vidyapeeth Women's University,Jaipur
Jaypee Institute of Information Technology,Noida
Jaypee University of Engineering and Technology,Raghogarh
Jaypee University of Information Technology,Waknaghat
"Jaypee University, Anoopshahr",Anupshahr
JECRC University,Jaipur
Jharkhand Rai University,Ranchi
Jiwaji University,Gwalior
JK Lakshmipat University,Jaipur
Jodhpur National University,Jodhpur
JS University,Shikohabad
Junagadh Agricultural University,Junagadh
K L University,Vaddeswaram
K.R. Mangalam University,Gurgaon
Kadi Sarva VishwaVidyalaya,Gandhinagar
Kakatiya University,Warangal ...
Kalasalingam University,Krishnankoil
Kalinga University,Raipur
Kamdhenu University,Gandhinagar
Kameshwar Singh Darbhanga Sanskrit University,Darbhanga
Kannada University,Vidyaranya
Kannur University,Kannur
Karnatak University,Dharwad
Karnataka Janapada Vishwavidyalaya,Shiggaon
Karnataka Sanskrit University,Bangalore
Karnataka State Dr. Gangubai Hangal Music And Performing Arts University,Mysore
Karnataka State Law University,Hubli
Karnataka State Women's University,Bijapur ...
"Karnataka Veterinary, Animal and Fisheries Sciences University",Bidar
Karpagam Academy of Higher Education,Coimbatore
Karunya University,Coimbatore
Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya,Ramtek
Kazi Nazrul University,Asansol
Kaziranga University,Jorhat
Kerala Agricultural University,Thrissur ...
Kerala Kalamandalam,Cheruthuruthi
Kerala University of Fisheries and Ocean Studies,Kochi
Kerala University of Health Sciences,Thrissur
Kerala Veterinary and Animal Sciences University,Pookode
"Khwaja Moinuddin Chishti Urdu, Arabi-Farsi University",Lucknow
KIIT University,Bhubaneswar
King George's Medical University,Lucknow
KLE University,Belgaum ...
Kolhan University,Chaibasa
Krantiguru Shyamji Krishna Verma Kachchh University,Bhuj
Krishna Institute of Medical Sciences,Karad
Krishna University,Machilipatnam
Kumar Bhaskar Varma Sanskrit And Ancient Studies University,Nalbari
Kumaun University,Nainital
Kurukshetra University,Kurukshetra ...
Kushabhau Thakre Patrakarita Avam Jansanchar University,Raipur
Kuvempu University,Shimoga
Lakshmibai National Institute of Physical Education,Gwalior
Lakulish Yoga University,Ahmedabad
Lala Lajpat Rai University of Veterinary and Animal Sciences,Hisar
Lalit Narayan Mithila University,Darbhanga
Lingaya's University,Faridabad
Lovely Professional University,Phagwara
M. S. Ramaiah University of Applied Sciences,Bangalore
Madan Mohan Malaviya University of Technology,Gorakhpur
Madhav University,Pindwara
Madhya Pradesh Pashu-Chikitsa Vigyan Vishwavidyalaya,Jabalpur
Madurai Kamaraj University,Madurai
Magadh University,Bodh Gaya
Mahapurusha Srimanta Sankaradeva Viswavidyalaya,Nagaon
Maharaja Agrasen University,Baddi
Maharaja Chhatrasal Bundelkhand University,Chhatarpur
Maharaja Ganga Singh University,Bikaner
Maharaja Krishnakumarsinhji Bhavnagar University,Bhavnagar
Maharaja Ranjit Singh Punjab Technical University,Bathinda
Maharaja Surajmal Brij University,Bharatpur
Maharana Pratap University of Agriculture and Technology,Udaipur
Maharashtra Animal and Fishery Sciences University,Nagpur
Maharashtra University of Health Sciences,Nashik
Maharishi Dayanand University,Rohtak
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Katni ...
Maharishi Markandeshwar University,Ambala ...
Maharishi Markandeshwar University,Ambala
"Maharishi Markandeshwar University, Solan",Solan
Maharishi University of Management and Technology,Bilaspur ...
Maharshi Dayanand Saraswati University,Ajmer
Maharshi Panini Sanskrit Vishwavidyalaya,Ujjain
Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,Wardha
"Mahatma Gandhi Central University, Motihari",Motihari
Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya,Chitrakoot
Mahatma Gandhi Kashi Vidyapeeth,Varanasi ...
Mahatma Gandhi University,Nalgonda
Mahatma Gandhi University,Kottayam
Mahatma Gandhi University,Khanapara
Mahatma Gandhi University of Medical Sciences and Technology,Jaipur
Mahatma Jyoti Rao Phoole University,Jaipur
Mahatma Jyotiba Phule Rohilkhand University,Bareilly
Mahatma Phule Krishi Vidyapeeth,Rahuri
Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya,Bhopal ...
"Malaviya National Institute of Technology, Jaipur",Jaipur
Manav Bharti University,Solan
Manav Rachna International University,Faridabad
Manav Rachna University,Faridabad
Mangalayatan University,Aligarh
Mangalore University,Mangalore
Manipal University,Manipal ...
Manipur University,Imphal
Manonmaniam Sundaranar University,Tirunelveli
Martin Luther Christian University,Shillong
MATS University,Aarang
Maulana Abul Kalam Azad University of Technology,Kolkata
Maulana Azad National Institute of Technology,Bhopal
Maulana Azad National Urdu University,Jodhpur
Maulana Azad National Urdu University,Hyderabad
Maulana Mazharul Haque Arabic and Persian University,Patna
Meenakshi Academy of Higher Education and Research,Chennai
Mewar University,Chittorgarh
MGM Institute of Health Sciences,Navi Mumbai
Mizoram University,Aizawl
Mody University,Lakshmangarh
Mohammad Ali Jauhar University,Rampur
Mohanlal Sukhadia University,Udaipur
Monad University,Hapur
Mother Teresa Women's University,Kodaikanal
Motherhood University,Bhagwanpur
Motilal Nehru National Institute of Technology,Allahabad
MVN University,Palwal
Nagaland University,Kohima
Nalanda University,Rajgir
NALSAR University of Law,Hyderabad
Narendra Dev University of Agriculture and Technology,Faizabad
Narsee Monjee Institute of Management and Higher Studies,Mumbai
National Dairy Research Institute,Karnal ...
National Institute of Design,Ahmedabad ...
National Institute of Fashion Technology,New Delhi ...
National Institute of Food Technology Entrepreneurship and Management,Sonipat
National Institute of Mental Health and Neuro Sciences,Bangalore
"National Institute of Pharmaceutical Education and Research, Ahmedabad",Ahmedabad
"National Institute of Pharmaceutical Education and Research, Guwahati",Guwahati
"National Institute of Pharmaceutical Education and Research, Hajipur",Hajipur
"National Institute of Pharmaceutical Education and Research, Hyderabad",Hyderabad
"National Institute of Pharmaceutical Education and Research, Kolkata",Kolkata
"National Institute of Pharmaceutical Education and Research, Mohali",Mohali
"National Institute of Pharmaceutical Education and Research, Rae Bareli",Rae Bareli
"National Institute of Technology, Agartala",Agartala
"National Institute of Technology, Arunachal Pradesh",Yupia
"National Institute of Technology, Calicut",Calicut
"National Institute of Technology, Delhi",New Delhi
"National Institute of Technology, Durgapur",Durgapur
"National Institute of Technology, Goa",Farmagudi
"National Institute of Technology, Hamirpur",Hamirpur
"National Institute of Technology, Jamshedpur",Jamshedpur
"National Institute of Technology, Karnataka",Mangalore
"National Institute of Technology, Kurukshetra",Kurukshetra
"National Institute of Technology, Manipur",Imphal
"National Institute of Technology, Meghalaya",Shillong
"National Institute of Technology, Mizoram",Aizawl
"National Institute of Technology, Nagaland",Dimapur
"National Institute of Technology, Patna",Patna
"National Institute of Technology, Puducherry",Karaikal
"National Institute of Technology, Raipur",Raipur
"National Institute of Technology, Rourkela",Rourkela
"National Institute of Technology, Sikkim",Ravangla
"National Institute of Technology, Silchar",Silchar
"National Institute of Technology, Srinagar",Srinagar
"National Institute of Technology, Tiruchirappalli",Tiruchirappalli
"National Institute of Technology, Uttarakhand",Srinagar
"National Institute of Technology, Warangal",Warangal
National Law Institute University,Bhopal
National Law School of India University,Bangalore
National Law University,New Delhi
"National Law University and Judicial Academy, Assam",Guwahati
"National Law University, Jodhpur",Jodhpur
"National Law University, Orissa",Cuttack
National University of Educational Planning and Administration,New Delhi
National University of Study and Research in Law,Ranchi
Nava Nalanda Mahavihara,Bargaon
Navrachana University,Vadodara
Navsari Agricultural University,Navsari ...
Nehru Gram Bharati Vishwavidyalaya,Allahabad
NIILM University,Kaithal
Nilamber-Pitamber University,Medininagar
NIMS University,Jaipur
Nirma University of Science and Technology,Ahmedabad
Nitte University,Mangalore
NITTE Unversity,Mangalore
Nizam's Institute of Medical Sciences,Hyderabad
Noida International University,Greater Noida
North Eastern Hill University,Shillong ...
North Eastern Regional Institute of Science and Technology,Itanagar
North Maharashtra University,Jalgaon
North Orissa University,Baripada
O.P. Jindal Global University,Sonipat
Oriental University,Indore
Orissa University of Agriculture and Technology,Bhubaneswar
Osmania University,Hyderabad
Pacific Medical University,Udaipur
Pacific University,Udaipur
Padmashree Dr. D.Y. Patil Vidyapith,Navi Mumbai
Palamuru University,Mahabubnagar
Pandit Deendayal Petroleum University,Gandhinagar
Pandit Deendayal Upadhyaya Shekhawati University,Sikar
Pandit Ravishankar Shukla University,Raipur
Panjab University,Chandigarh
Parul University,Waghodia
Patna University,Patna
"PDPM Indian Institute of Information Technology, Design and Manufacturing",Jabalpur
PEC University of Technology,Chandigarh
People's University,Bhopal
Periyar Maniammai University,Vallam ...
Periyar University,Salem
PES University,Bangalore
Pondicherry University,Puducherry ...
Ponnaiyan Ramajayam Institute of Science and Technology,Thanjavur
Poornima University,Jaipur
Post Graduate Institute of Medical Education and Research,Chandigarh
Potti Sreeramulu Telugu University,Hyderabad
Pratap University,Jaipur
Pravara Institute of Medical Sciences,Loni
Presidency University,Kolkata
Professor Jayashankar Telangana State Agricultural University,Hyderabad
Pt. Bhagwat Dayal Sharma University of Health Sciences,Rohtak
Punjab Agricultural University,Ludhiana
Punjab Technical University,Kapurthala
Punjabi University,Patiala
Rabindra Bharati University,Kolkata
Raffles University,Neemrana
Rai University,Dholka
Raj Rishi Bharthari Matsya University,Alwar
Raja Mansingh Tomar Music and Arts University,Gwalior
Rajasthan Technical University Kota,Kota
Rajasthan University of Health Sciences,Jaipur
Rajasthan University of Veterinary and Animal Sciences,Bikaner
Rajendra Agricultural University,Samastipur
Rajiv Gandhi Institute of Petroleum Technology,Raebareli
Rajiv Gandhi National Instiute of Youth Development,Sriperumbudur
Rajiv Gandhi National University of Law,Patiala
Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal ...
Rajiv Gandhi University,Itanagar
Rajiv Gandhi University of Health Sciences,Bangalore
Rajiv Gandhi University of Knowledge Technologies,Hyderabad
Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,Gwalior
Raksha Shakti University,Ahmedabad
Rama University,Kanpur
Ramakrishna Mission Vivekananda University,Belur ...
Ranchi University,Ranchi
"Rani Channamma University, Belagavi",Belagavi
Rani Durgavati Vishwavidyalaya,Jabalpur
Rashtrasant Tukadoji Maharaj Nagpur University,Nagpur
Rashtriya Sanskrit Sansthan,New Delhi
Rashtriya Sanskrit Vidyapeetha,Tirupati
Ravenshaw University,Cuttack
Rayalaseema University,Kurnool
Rayat-Bahra University,Kharar
REVA University,Bangalore
RK University,Rajkot
RKDF University,Bhopal
Sai Nath University,Ranchi
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Allahabad
Sambalpur University,Burla
Sampurnanand Sanskrit Vishvavidyalaya,Varanasi
Sangam University,Bhilwara
Sanjay Gandhi Post Graduate Institute of Medical Sciences,Lucknow
Sant Gadge Baba Amravati University,Amravati
Sant Longowal Institute of Engineering and Technology,Sangrur
Santosh University,Ghaziabad
Sardar Patel University,Vallabh Vidyanagar
"Sardar Patel University of Police, Security and Criminal Justice",Jodhpur
"Sardar Vallabhbhai National Institute of Technology, Surat",Surat
Sardar Vallabhbhai Patel University of Agriculture and Technology,Meerut
Sardarkrushinagar Dantiwada Agricultural University,Palanpur
Sarguja University,Ambikapur
Sarvepalli Radhakrishnan University,Bhopal
SASTRA University,Thanjavur ...
Satavahana University,Karimnagar
Sathyabama University,Chennai
Saurashtra University,Rajkot
Saveetha University,Chennai
Savitribai Phule Pune University,Pune
"School of Planning and Architecture, Bhopal",Bhopal
"School of Planning and Architecture, Delhi",New Delhi
"School of Planning and Architecture, Vijayawada",Vijayawada
Seacom Skills University,Santiniketan
Sharda University,Greater Noida
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,Jammu
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,Srinagar
Sher-i-Kashmir Institute of Medical Sciences,Srinagar
Shiv Nadar University,Dadri
Shivaji University,Kolhapur
Shobhit University,Meerut
Shoolini University of Biotechnology and Management Sciences,Solan
Shree Guru Gobind Singh Tricentenary University,Gurgaon
Shree Somnath Sanskrit University,Veraval
Shri Govind Guru University,Godhra
Shri Guru Ram Rai Education Mission+,Dehradun ...
Shri Jagannath Sanskrit Vishvavidyalaya,Puri
Shri Jagdishprasad Jhabrmal Tibrewala University,Jhunjhunu
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,New Delhi
Shri Mata Vaishno Devi University,Katra
Shri Ramswaroop Memorial University,Barabanki
Shri Venkateshwara University,Gajraula
Shridhar University,Pilani
Sidho Kanho Birsha University,Purulia
Sido Kanhu Murmu University,Dumka
Sikkim Manipal University,Gangtok
Sikkim University,Tadong
Siksha O Anusandhan University,Bhubaneswar
Singhania University,Jhunjhunu
Sir Padampat Singhania University,Udaipur
South Asian University,New Delhi
Sree Chitra Thirunal Institute of Medical Sciences and Technology,Thiruvananthapuram
Sree Sankaracharya University of Sanskrit,Kalady
Sri Balaji Vidyapeeth,Puducherry
Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,Kanchipuram
Sri Dev Suman Uttarakhand University,Tehri
Sri Devaraj Urs Academy of Higher Education and Research,Kolar
Sri Guru Granth Sahib World University,Fatehgarh Sahib
Sri Krishnadevaraya University,Anantapur ...
Sri Padmavati Mahila Visvavidyalayam,Tirupati
Sri Ramachandra University,Chennai
Sri Sai University,Palampur
Sri Sathya Sai Institute of Higher Learning,Prasanthi Nilayam
Sri Satya Sai University of Technology and Medical Sciences,Sehore
Sri Siddhartha Academy of Higher Education,Tumkur
Sri Sri University,Cuttack
Sri Venkateswara Institute of Medical Sciences,Tirupati
Sri Venkateswara University,Tirupati
Sri Venkateswara Vedic University,Tirupati
Sri Venkateswara Veterinary University,Tirupati
Srimanta Sankaradeva University of Health Sciences,Guwahati
SRM University,Chennai
"SRM University, Sikkim",Gangtok
St. Peter's University,Chennai
State University of Performing and Visual Arts,Rohtak
Suamandeep Vidyapeeth,Vadodara
Sunrise University,Alwar ...
Suresh Gyan Vihar University,Jaipur
Swami Keshwanand Rajasthan Agricultural University,Bikaner
Swami Rama Himalayan University,Dehradun
Swami Ramanand Teerth Marathwada University,Nanded
Swami Vivekanand Subharti University,Meerut
Swami Vivekanand University,Sagar
Swami Vivekananda Yoga Anusandhana Samsthana,Bangalore
Swarnim Gujarat Sports University,Gandhinagar
Symbiosis International University,Pune
Tamil Nadu Agricultural University,Coimbatore ...
Tamil Nadu Dr Ambedkar Law University,Chennai
Tamil Nadu Dr. M.G.R.Medical University,Chennai
Tamil Nadu Fisheries University,Nagapattinam
Tamil Nadu National Law School,Tiruchirappalli
Tamil Nadu Physical Education and Sports University,Chennai
Tamil Nadu Teacher Education University,Chennai
Tamil Nadu Veterinary and Animal Sciences University,Chennai ...
Tamil University,Thanjavur
Tantia University,Sri Ganganagar
Tata Institute of Fundamental Research,Mumbai
Tata Institute of Social Sciences,Mumbai
Teerthanker Mahaveer University,Moradabad
Telangana University,Nizamabad
TERI University,New Delhi
Tezpur University,Tezpur
Thapar Institute of Engineering and Technology,Patiala
The English and Foreign Languages University,Hyderabad
The IIS University,Jaipur
The Indian Law Institute,New Delhi
The LNM Institute of Information Technology,Jaipur
The Maharaja Sayajirao University of Baroda,Vadodara
The National University of Advanced Legal Studies,Kochi
